X,Y,IcePicks,Joughin,Mankoff,GrnlndcNam,Official,AltName,RefName,Count
509854.52591392,-2282999.66384843,150,151,188,,Styrtegletscher,,Styrtegletscher,0
502000.809529928,-2283897.23149011,151,152,None,,Nordfjord Gletsjer,,Nordfjord Gletsjer,0
490706.41730147,-2292050.13671738,152,153,190,,Kangerlussuaq Gletsjer,Kangerlugssuaq,Kangerlussuaq Gletsjer,0
489584.45770601,-2300352.63638687,153,216,192,,,,,0
495044.660514317,-2300427.43360566,154,0,194,0,0,0,0,0
529002.63360679,-2336030.94507781,155,0,201,0,0,0,0,0
535285.606666501,-2337676.48544905,156,154,202,,Hutchinson Gletsjer,,Hutchinson Gletsjer,0
526796.112880944,-2363705.94383215,157,155,203,Apuliliip Apusiia,Apuliliip Apusiia,Polaric Gletsjer,Polaric Gletsjer,0
518044.828828715,-2371634.45709931,158,156,205,,Nordre Parallelgletsjer,,Nordre Parallelgletsjer,0
516249.693511557,-2381806.88906661,159,157,None,,,,,0
489734.051091238,-2387229.693241,160,158,"206,7,8",,Søndre Parallelgletsjer,,Søndre Parallelgletsjer,0
493324.321179113,-2404246.07747758,161,159,209,,,,,0
491379.591345897,-2409220.09752353,162,160,210,,,,,0
489846.24647514,-2426722.66420928,163,161,211,,,Unartit,,0
484984.421712476,-2451929.35212198,164,162,212,,,,,0
477916.076648663,-2477285.63459928,165,0,213,0,0,0,0,0
478290.063018605,-2485812.52600031,166,0,215,0,0,0,0,0
473316.042368602,-2507428.943732,167,217,223,,,,,0
466995.670623642,-2509934.65313281,168,0,218,0,0,0,0,0
463629.791987752,-2524931.51038928,169,163,214,,,,,0
464714.352739244,-2530167.32086636,170,164,224,,,,,0
468529.014869429,-2535964.11099732,171,165,224,,K.J.V. Steenstrup Nordre Bræ,,,0
462208.643084052,-2541686.10397668,172,166,225,Sulussuulip Apusiia,Sulussuulip Apusiia,K.J.V. Steenstrup Søndre,,0
437226.345260075,-2556346.37367303,173,168,226,Nigertuluup Kattilertarpia Oqqorteq,Nigertuluup Kattilertarpia Oqqorteq,,,0
405549.689460513,-2554364.24582926,174,169,227,Kattilersorpia,Kattilersorpia,Glacier de France,Glacier de France,0
397920.364532441,-2595053.97302312,175,170,None,Apuseeq,Apuseeq,Knud Rasmussen Gletsjer,,0
387598.33735164,-2597148.2973343,176,171,None,,,,,0
378248.675065345,-2597746.67578428,177,172,None,,Kaarali Gletsjer,Kaarale Gletscher,,0
372414.486200136,-2563265.12404116,178,0,229,0,0,0,0,0
368151.04018459,-2564237.48889283,179,173,228,Nigertiip Apusiia,Nigertiip Apusiia,Midgård Gletsjer,Midgård Gletsjer,0
335464.620722289,-2572689.58330189,180,174,230,Apuseerajik,Apuseerajik,Fenris Gletsjer,Fenris Gletsjer,0
305919.687826897,-2577701.00219103,181,175,231,,Helheim Gletsjer,,Helheim Gletsjer,0
300598.630956242,-2621229.84231128,182,0,None,0,0,0,0,0
300900.157768149,-2627399.07676514,183,0,235,0,0,0,0,0
265828.335294239,-2650777.95705918,184,0,237,0,0,0,0,0
250794.078274931,-2660576.40242922,185,176,238,,,,,0
247353.402515421,-2665961.80747409,186,177,238,,,,,0
238302.929376486,-2673591.13131473,187,178,239,,,,,0
233291.510383634,-2675610.65823206,188,179,239,,,,,0
226933.739988835,-2682492.00912519,189,180,239,,,Ikertivaq,,0
236358.19945068,-2696479.10261008,190,218,240,,,,,0
234114.280390258,-2711962.14199594,191,0,243,0,0,0,0,0
235011.847889972,-2722134.57363991,192,0,None,0,0,0,0,0
230972.793722367,-2731783.42427168,193,0,None,0,0,0,0,0
213096.239540367,-2724453.28983579,194,0,None,0,0,0,0,0
205092.9286762,-2720040.2496904,195,181,244,,,,,0
184299.279775477,-2725425.65481082,196,182,245,,,,,0
182878.130992705,-2745471.32892305,197,183,251,,,,,0
188562.725554552,-2759832.40882074,198,184,254,,,,,0
197912.387762576,-2766152.77987139,199,0,None,0,0,0,0,0
201166.070180681,-2772772.34012089,200,185,259,,,,,0
205953.097232582,-2775315.44798841,201,219,263,,,,,0
210104.347245586,-2778643.92741582,202,0,None,0,0,0,0,0
214816.57693364,-2790200.10885626,203,0,None,0,0,0,0,0
212273.468733348,-2800372.54045226,204,186,"264,266",,,,,0
213881.610563463,-2810844.16117292,205,0,None,0,0,0,0,0
206327.083467284,-2812676.69485277,206,0,None,0,0,0,0,0
204793.738847487,-2814696.22171724,207,0,None,0,0,0,0,0
202213.232062042,-2816117.37026136,208,0,None,0,0,0,0,0
182204.954881136,-2816940.140589,209,0,271,0,0,0,0,0
171172.353433215,-2819333.6539615,210,187,"272,274",,Gråulv,,,0
170312.184487902,-2822849.12663592,211,0,None,0,0,0,0,0
169152.826326673,-2830740.24082201,212,188,276,,,,,0
169713.806001508,-2841099.66558592,213,220,277,,,,,0
197687.995329198,-2848317.60396341,214,0,283,0,0,0,0,0
200156.306151582,-2848915.98227206,215,0,284,0,0,0,0,0
207299.447986146,-2863538.85253336,216,0,285,0,0,0,0,0
215153.164221736,-2867054.32513202,217,0,289,0,0,0,0,0
218032.860106189,-2877563.34442257,218,221,None,,Gjallerbroen,,,0
218967.82626783,-2885566.65448935,219,222,295,,,,,0
208944.98833548,-2891887.0255975,220,0,296,0,0,0,0,0
204270.157246019,-2889867.49879104,221,223,None,,Ydun Gletsjer,,,0
176445.562622667,-2871542.16281809,222,189,286,,Sleipner,Fimbulgletsjer,,0
166011.339552405,-2878236.52037495,223,190,290,,A.P. Bernstorff Gletsjer,,,0
168479.650305391,-2890727.66785686,224,191,299,,Storebjørn,Maelkevejen,,0
173565.866555776,-2889306.51931054,225,0,None,0,0,0,0,0
163019.44746883,-2909800.9769098,226,224,300,,Thrym Gletsjer,,,0
161598.298621214,-2944506.91951992,227,192,302,Apusiigajik,Apusiigajik,Skinfaxe,,0
143796.541786201,-2948321.5814014,228,193,303,,Rimfaxe,Guldfaxe,,0
123756.333176585,-2990205.77839451,229,194,304,,Heimdal Gletsjer,,,0
115102.192172788,-2998600.2942928,230,225,None,,,,,0
91736.0115408151,-3004312.02681591,231,195,"305,306",,,,,0
97620.8273606928,-3015216.24326102,232,0,307,0,0,0,0,0
99005.4898801073,-3025168.5043051,233,226,308,,,,,0
101255.566495392,-3034774.59973511,234,227,309,,,,,0
105496.095530414,-3043861.44674716,235,228,310,,,,,0
120592.603979715,-3045849.15323103,236,0,311,0,0,0,0,0
127249.563402586,-3053852.4631466,237,0,None,0,0,0,0,0
131131.952565406,-3056775.93727018,238,229,314,,,,,0
142122.711546223,-3061622.25562185,239,0,None,0,0,0,0,0
137882.182385822,-3081180.61203979,240,196,316,,,,,0
128362.627325739,-3086459.63747782,241,0,316,0,0,0,0,0
129512.748776238,-3099886.10804031,242,230,318,,,,,0
118143.559570673,-3109086.17461333,243,231,320,,,,,0
115750.046047072,-3112826.03906104,244,232,322,,,,,0
114777.681154846,-3120006.57878142,245,197,323,,,,,0
127418.42433389,-3126513.94283958,246,198,"325,326",,,,,0
103932.073014608,-3136237.59045594,247,199,"236,328,329",,,,,0
108868.694571485,-3148579.14304241,248,233,331,,,,,0
128315.991768244,-3154562.92603444,249,200,332,,,,,0
112159.775572257,-3165258.93834444,250,0,334,0,0,0,0,0
94133.626989998,-3168400.4245224,251,201,336,,,,,0
94358.0188344432,-3181863.93641083,252,234,341,,,,,0
70630.0449978915,-3193969.97064084,253,0,342,0,0,0,0,0
74910.7215913671,-3196299.81308779,254,0,"346,347",0,0,0,0,0
84110.7890515968,-3215073.93235972,255,202,349,,,,,0
76107.4782634296,-3224199.20151179,256,235,350,,,,,0
80370.9241288396,-3242113.15193585,257,0,356,0,0,0,0,0
67057.0053115989,-3238822.07131002,258,238,352,,,,,0
45908.0696262937,-3250303.45502386,259,0,357,0,0,0,0,0
50134.1168457515,-3275472.74229671,260,0,None,0,0,0,0,0
30110.0769680121,-3229214.94700635,261,0,None,0,0,0,0,0
-3587.85670494679,-3182766.44930762,262,0,None,0,0,0,0,0
-8323.78252595525,-3181946.76993318,263,236,340,Qooqqup Sermia,Qooqqup Sermia,,,0
-43296.7732254354,-3167738.99408376,264,203,335,Eqalorutsit Kangilliit Sermiat,Eqalorutsit Kangilliit Sermiat,Eqalorutsit Killiit,,0
-59143.9096187023,-3174660.73099278,265,0,337,0,0,0,0,0
-64335.2129161388,-3177757.29750468,266,0,338,0,0,0,0,0
-107413.922693269,-3201801.22563663,267,0,344,0,0,0,0,0
-157631.653096723,-3168356.9465392,268,0,None,0,0,0,0,0
-177668.262565118,-3133383.959712,269,204,327,Sermiligaarsuup Sermia,Sermiligaarsuup Sermia,Sermiligaarsuk Bræ,,0
-198069.17412641,-3090032.02796933,270,205,317,Uukkaasorsuaq,Uukkaasorsuaq,Sermilik Bræ,,0
-203898.006014268,-3077281.45977319,271,0,315,0,0,0,0,0
-212459.102843317,-3060523.57011134,272,206,312,,Avannarleq Bræ,,,0
-225255.211991206,-2824000.52751141,273,207,275,Kangiata Nunaata Sermia,Kangiata Nunaata Sermia,,Kangiata Nunaata Sermia,0
